name,price,address,Type,nbeds,nbath,laundry,heating,parking,air_conditioner,furnished,animal_friendly,Area,lat,lng,Walk Score,Bike Score,Transit Score
3 beds 2 baths house,2800,"kelowna, bc",House,3,2,laundry in building,gas heating,street parking,central ac,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
1 bed 1 bath house,1400,"kelowna, bc",House,1,1,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,dog friendly,1200,49.88698,-119.49661,64,98,59
4 beds 2 baths house,2795,"kelowna, bc",House,4,2,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
4 beds 3 baths house,3500,"kelowna, bc",House,4,3,in-unit laundry,gas heating,garage parking,central ac,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
5 beds 2 baths house,3275,"kelowna, bc",House,5,2,in-unit laundry,gas heating,street parking,Not specified,unfurnished,dog and cat friendly,1200,49.88698,-119.49661,64,98,59
2 beds 1 bath house,1800,"kelowna, bc",House,2,1,in-unit laundry,central heating,parking available,central ac,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
4 beds 2 baths house,3175,"kelowna, bc",House,4,2,in-unit laundry,gas heating,garage parking,central ac,Not specified,dog and cat friendly,1950,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,750,"kelowna, bc",Apartment/Condo,1,1,Not specified,gas heating,Not specified,central ac,Not specified,No pets,910,49.88698,-119.49661,64,98,59
2 beds 1 bath house,1675,"kelowna, bc",House,2,1,laundry available,electric heating,street parking,Not specified,unfurnished,dog and cat friendly,810,49.88698,-119.49661,64,98,59
1 bed 1 bath apartment,1200,"kelowna, bc",Apartment/Condo,1,1,in-unit laundry,electric heating,garage parking,central ac,Not specified,No pets,1100,49.88698,-119.49661,64,98,59
2 beds 1 bath house,1100,"kelowna, bc",House,2,1,in-unit laundry,gas heating,street parking,central ac,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
4 beds 2 baths house,2980,"kelowna, bc",House,4,2,in-unit laundry,gas heating,street parking,Not specified,unfurnished,dog friendly,1400,49.88698,-119.49661,64,98,59
1 bed 1 bath townhouse,845,"kelowna, bc",Townhouse,1,1,in-unit laundry,gas heating,garage parking,central ac,Not specified,No pets,1371,49.88698,-119.49661,64,98,59
1 bed 1 bath house,1525,"kelowna, bc",House,1,1,laundry in building,gas heating,parking available,central ac,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
2 beds 1 bath house,2600,"kelowna, bc",House,2,1,in-unit laundry,heating available,street parking,ac available,Not specified,dog and cat friendly,1200,49.88698,-119.49661,64,98,59
1 bed 1 bath house,1700,"kelowna, bc",House,1,1,in-unit laundry,Not specified,Not specified,Not specified,unfurnished,No pets,1200,49.88698,-119.49661,64,98,59
1 bed 1 bath townhouse,1600,"kelowna, bc",Townhouse,1,1,laundry in building,central heating,street parking,central ac,unfurnished,No pets,1371,49.88698,-119.49661,64,98,59
